country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Singapore,,,,,,0.963,,,,,,,,,,0.99,,,,,,,,,,0.995,,,,,,,,,,0.998,
Slovenia,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,0.998,,,,,,,0.998
South Africa,,,,,,0.852,,,,,,,,,,,,,,,,0.939,,,,,,,,,,,0.976,,,,0.988
Spain,,,,,,,0.986,,,,,,,,,,0.995,,,,,,,,,,,,,,0.995,,0.996,0.996,0.996,0.996,
Sri Lanka,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,0.956,,,,,0.975,,0.98,,0.982,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,0.782,,,,,,,,,,,0.873
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.949,,,,0.994,,0.984,
Syria,,,,,,,0.743,,,,,,,,,,,,,,,,,,,,,0.952,,0.925,,,,,,,0.953
Tajikistan,,,,,,,,,,,,,,,0.997,,,,,,,,,,,0.998,,,,,,,,,,,0.999
Tanzania,,,,,,,,,,,,,,0.818,,,,,,,,,,,,,,0.784,,,,,,,,0.746,
Thailand,,,,,,0.969,,,,,,,,,,,,,,,,,,,,0.98,,,,,0.98,,,,,,
Timor-Leste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.795,
Togo,,,,,,,,,,,,,,,,,,,,,,,,,,0.744,,,,,,0.765,,,0.817,,0.799
Tonga,,0.998,,,,,,,,,,,,,,,,,,,,0.993,,,,,,,,,,0.994,,,,,
Trinidad and Tobago,,,,,,0.992,,,,,,,,,,0.993,,,,,,,,,,,,,,0.995,,,,,,,0.996
Tunisia,,,,,,,,,,0.743,,,,,,,,,,0.828,,,,,,,,,,0.943,,,0.963,0.968,,0.972,
Turkey,0.8,,,,,0.847,,,,,0.909,,,,,0.925,,,,,,,,,,,,,,0.956,0.961,0.962,0.964,,0.978,0.982,0.987
Turkmenistan,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,,,,,,,0.998
Uganda,,,,,,,,,,,,,,,,,0.698,,,,,,,,,,,0.808,,,,0.841,,,,0.874,
Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,0.998,,,,,,,,,,0.998
United Arab Emirates,0.63,,,,,,,,,,0.825,,,,,,,,,,,,,,,,,,,,0.95,,,,,,
Uruguay,0.983,,,,,,,,,,0.986,,,,,,,,,,,0.986,,,,,,,,,,0.987,0.988,0.99,0.99,0.988,
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,0.999,,,,,,,,,,,0.999
Vanuatu,,,,,0.718,,,,,,,,,,,,,,,0.863,,,,,,,,,,0.92,,,,,,,0.946
Venezuela,,,,,,,0.931,,,,,,,,,0.954,,,,,,,,,,,0.972,,,,,,0.984,,0.985,,
Vietnam,,,,,0.95,,,,,,,,,,0.937,,,,,,,,,,0.939,0.948,,,,,,,,,,,0.971
Yemen,,,,,,,,,,,,,,,,,,,,0.602,,,,,,,,,,0.769,,,,,,,0.864
Zambia,,,,,,,,,,,,,,,,0.664,,,,,,,,,0.695,,,0.691,,,,,0.64,,,,
Zimbabwe,,,,,,,,0.89,,,,,,,,,,0.954,,,,,,,,,,,,,,,,,,,0.909
