country,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Paraguay,,,,,,,,0.902,,,,,,,,,,0.959,,,,,,,,,,,,,,,0.988,0.977,0.98,0.985,
Peru,,,,,,,0.965,,,,,,,,,,,,0.97,,,,,,,,,,,0.978,0.979,0.985,0.98,,,,
Philippines,,,,,,0.911,,,,,,,,,,0.963,,,,,,,,,,0.945,,,0.936,,,,,0.97,,,
Poland,,,,0.998,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,1
Portugal,,,,,,,0.977,,,,,,,,,,0.991,,,,,,,,,,,,,,,,,,,,0.997
Qatar,,,,,,,,,,,,0.885,,,,,,,,,,,0.941,,,,,,,0.949,,,0.991,0.953,0.977,0.963,
Romania,,,,,,,,,,,,,,,,,,0.992,,,,,,,,,,0.977,,,,,,,,,0.97
Russia,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,0.997,,,,,,,,0.997,
Rwanda,,,,0.597,,,,,,,,,,,,,,,,,,,,,,0.785,,,,,,,,,,0.767,
Samoa,,,,,,,,,,,,,,,,,0.991,,,,,,,,,,,,,0.993,,,,,,,0.994
Sao Tome and Principe,,,,,,,0.908,,,,,,,,,,0.958,,,,,,,,,,0.96,,,,,,,0.831,,,
Saudi Arabia,,,,,,,,,,,,,,,,,,0.94,,,,,,,,0.981,,,,0.97,,,,,,,0.99
Senegal,,,,,,,,,,,,,,0.491,,,,,,,,,,,,,,0.585,,,,0.581,,,0.742,,
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.993
Seychelles,,,,,,,,,,,,,0.968,,,,,,,0.985,,,,,,,,0.988,,,,,,,,,0.988
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.596,,,,,,,0.705
Singapore,,,,,,0.964,,,,,,,,,,0.989,,,,,,,,,,0.994,,,,,,,,,,0.997,
Slovenia,,,,,,,,,,,,,,,,,0.997,,,,,,,,,,,,,0.998,,,,,,,0.998
South Africa,,,,,,0.853,,,,,,,,,,,,,,,,0.935,,,,,,,,,,,0.97,,,,0.984
Spain,,,,,,,0.986,,,,,,,,,,0.995,,,,,,,,,,,,,,0.996,,0.996,0.995,0.996,0.995,
Sri Lanka,,,,,,,0.919,,,,,,,,,,,,,,,,,,,,0.951,,,,,0.97,,0.973,,0.977,
Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,0.857,,,,,,,,,,,0.9
Suriname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.956,,,,0.994,,0.98,
